handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_d63a9e8e-85d9-681f-6d16-bea452211d68,Product,Fad - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Fad</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: 28x17.5 cm</strong></p>",c38ac4_17471ffccc5c4ad58f375cc5038aa782~mv2.png;c38ac4_c8eabb1a55d442afb84944ee8936b4b7~mv2.png,B&G;B&G Purpur,03026,,450.0,,true,PERCENT,0.0,1,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_49f17cf6-79d0-de1b-5b4a-bea3bd1410e2,Product,Skål på fod - Purpur Bing og Grøndahl B&G,"<p><strong><span style=""background-color: transparent;"">Purpur&nbsp;- Bing og Grøndahl - B&amp;G</span></strong></p><p><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b>Skål på fod</b></font></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>1.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Diameter: 23 cm Højde: 7.5 cm</strong></p>",c38ac4_bbbe4e88f7064b9991919ab54c652190~mv2.png;c38ac4_46746612f8e243bf945a04aa136b2ae3~mv2.png;c38ac4_47833d4302c74517a75ce425c24066c0~mv2.png,B&G;B&G Purpur,03025,,800.0,,true,PERCENT,0.0,1,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_78a9fc33-342e-aa8e-e131-134307059b4c,Product,Nr: 869 - Stor vase Royal Copenhagen RC,<p><strong>Royal Copenhagen - RC</strong></p><p><strong>Big vase&nbsp;/ Stor vase</strong></p><p><strong>Nr: 869</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Gustav Friedrich Hetsch</strong></p><p><strong>2.Quality - can not see why&nbsp;/ 2.Sortering - kan ikke se hvorfor</strong></p><p><strong>Condition: No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Height / Højde: 26.5 cm</strong></p>,c38ac4_c395b7fe636440a6a24abe71801cb1be~mv2.png;c38ac4_4ee7235124e449158cc0afb2bbd17846~mv2.png;c38ac4_f5f1840a897a4c8fba4fae64ed1015c1~mv2.png,Royal Copenhagen;Vaser RC,03024,,2200.0,,false,PERCENT,0.0,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe30458e-dccb-8099-562c-30db06f62921,Product,Nr: 1/2185 - Glasbakke Musselmalet Royal Copenhagen RC,<p><strong>Blue fluted -&nbsp;Royal Copenhagen - RC - Musselmalet</strong></p><p><strong>Glass dish / Glasbakke</strong></p><p><strong>Nr: 1/2185</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>1.Quality&nbsp;/ 1.Sortering</strong></p><p><strong>Condition: No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Dimension: 9 x 1.5 cm</strong></p>,c38ac4_02a80abd6fc8453a91fbcc1b71374e9b~mv2.png;c38ac4_d13a96e8beac4a52898cc50831754c09~mv2.png;c38ac4_c89fee1e53c2435f9cdccb3cedea4c1c~mv2.png,Musselmalet;Royal Copenhagen,02731,,400.0,,true,PERCENT,0.0,4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_8e5444e4-c601-43e9-322f-8938c53dd9d8,Product,Nr: 10/8026 - Flødekande Blå Blomst Flettet Royal Copenhagen RC,<p><strong>Blå Blomst Flettet -&nbsp;Royal Copenhagen - RC</strong></p><p><strong>Cream jug /&nbsp;Flødekande</strong></p><p><strong>Nr: 10/8026</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>1.Quality&nbsp;/ 1.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Height / Højde: 11.5&nbsp;cm</strong></p>,c38ac4_e6700e00f0f14f058f25f0641eba0b4f~mv2.png;c38ac4_5618c624ec1a408c900988fb03341abf~mv2.png;c38ac4_4bd42493ccf849f0968fdf8994f037c1~mv2.png,Royal Copenhagen;Blå Blomst,01221,,250.0,,false,PERCENT,0.0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_99fe9b7c-249e-36aa-868f-b46d7e5e9753,Product,Nr: 10/8204 - Bordskåner skål Blå Blomst Flettet Royal Copenhagen RC,<p><strong>Blå Blomst Flettet -&nbsp;Royal Copenhagen - RC</strong></p><p><strong>Table protectors /&nbsp;Bordskåner</strong></p><p><strong>Nr: 10/8204</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>1.Quality&nbsp;/ 1.Sortering</strong></p><p><strong>Condition:&nbsp;No chip or cracks / Ingen skår eller revner</strong></p><p><strong>Diameter: 13.5&nbsp;cm</strong></p>,c38ac4_22b0d273d9964a19915ca0ab6a29e7d3~mv2.png;c38ac4_b955f385c14e4155905d613b4d9d72ba~mv2.png,Royal Copenhagen;Blå Blomst,03023,,400.0,,false,PERCENT,0.0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_90e103b4-5a93-3d65-ec93-d64ce5830c17,Product,Nr: 1/301 - Sjældent dobbelt æggebæger Musselmalet Royal Copenhagen,"<p><strong>Musselmalet -&nbsp;Royal Copenhagen - RC</strong></p><p><strong>Sjældent dobbelt æggebæger</strong></p><p><strong>Nr: 1/301</strong></p><p><strong><span style=""background-color: transparent;"">Materiale: Porcelæn</span></strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>1.Sortering&nbsp;<br>Stand: Ingen skår eller revner</strong></p><p><strong>Højde: H8.5cm</strong></p>",c38ac4_d4a6585d8603447d9574e80d0500761a~mv2.png;c38ac4_11b7b9c6cca047ea9e3914f4a2b0cd6e~mv2.png;c38ac4_a45630e82b2e47db9cee081dd29df74c~mv2.png;c38ac4_6e65008545b84e799a61590189510df6~mv2.png,Musselmalet;Royal Copenhagen,00768,,4500.0,,true,PERCENT,0.0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bb40d5f0-5539-1bfe-a744-4eb2117fcddd,Product,Nr: 321 / 054 - Isbjørn Royal Copenhagen RC,<p><strong>Royal Copenhagen - RC</strong></p><p><strong>Isbjørn</strong></p><p><strong>Nr: 321 / 054</strong></p><p><strong>Materiale: Porcelæn<br>Design: Carl J. Bonnesen</strong></p><p><strong>3.Sortering<br>Stand: Ingen skår eller revner</strong></p><p><strong>Mål: H9xL14cm</strong></p>,c38ac4_8219fa1453f64250a476976aef882114~mv2.png;c38ac4_67598b7fc8f348708bb538b7470e90db~mv2.png;c38ac4_578ce767cc844cf2bbfd00f0f1b7990b~mv2.png;c38ac4_461322e092e049ccbf95a52a87ffba95~mv2.png,Isbjørne / Bjørne;Figur;Figur Royal Copenhagen;Royal Copenhagen,03022,,400.0,,true,PERCENT,0.0,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2148f801-1214-d34c-ca05-56d2f6489446,Product,Nr:  109 - 110 - 1/2199 - Bouillionkop med låg Musselmalet Royal Copenhagen RC,<p><strong>Blue fluted -&nbsp;Royal Copenhagen - RC - Musselmalet</strong></p><p><strong>Bouillion cup with lid&nbsp;/ Bouillionkop med låg</strong></p><p><strong>Nr: 109 - 110 - 1/2199</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>3.Quality - tilts a little&nbsp;/&nbsp;3.Sortering - vipper lidt</strong></p><p><strong>Condition: No chip&nbsp;or cracks / Ingen skår eller revner</strong></p><p><strong>Height / Højde: 11 cm</strong></p>,c38ac4_744a5cda264846029d0fcb9569d1906f~mv2.png;c38ac4_dbe6dd408eda43d396cbd042d44d55c7~mv2.png;c38ac4_6fabec598e2c43c4a835fac8250f151d~mv2.png;c38ac4_3e10c824853a41bdb9768b9d4d2795ee~mv2.png,Musselmalet;Royal Copenhagen,03021,,650.0,,true,PERCENT,0.0,5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_696d53be-4201-e424-370c-4b4165a95a67,Product,Nr: 1/30 - Sjælden Chokoladekande Musselmalet Royal Copenhagen RC,"<p><strong>Blue fluted -&nbsp;Royal Copenhagen - RC - Musselmalet</strong></p><p><strong>Rare Chocolate Jug&nbsp;/ Sjælden Chokoladekande</strong></p><p><strong>Nr: 1/30</strong></p><p><strong>Material: Porcelain / Porcelæn</strong></p><p><strong>Design:&nbsp;Arnold Krog</strong></p><p><strong>Jug 1.Quality, lid 3.Quality&nbsp;same painter&nbsp;/ Kande 1.Sortering, låg 3.Sortering samme maler.</strong></p><p><strong>Condition: No chip&nbsp;or cracks / Ingen skår eller revner</strong></p><p><strong>Height / Højde: 20 cm</strong></p>",c38ac4_73ffb38bb8d2482db8baadd55459c84c~mv2.png;c38ac4_1882ae9b913a4c389c385506e542454d~mv2.png;c38ac4_a6459e3f67874d33a9ed33f89c1e11ea~mv2.png;c38ac4_3b473a742bd2497fada1f363b43a2bb3~mv2.png;c38ac4_9548c8e514f5435d87e300965450a265~mv2.png;c38ac4_341b3db35ce541a5bd792b35be2c5c05~mv2.png,Musselmalet;Royal Copenhagen,02769,,7600.0,,true,PERCENT,0.0,1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
